state_fips,start,end,measure,cells_exposed,cells_unexposed,employment_growth_exposed,wage_growth_exposed,wage_growth_exposed_se,employment_growth_unexposed,wage_growth_unexposed,wage_growth_unexposed_se,employment_growth_gap,wage_growth_gap
01,2022,2024,eloundou_beta,167,437,0.022394442044294693,0.0386454055008468,0.0018251263313729326,0.015931229150225434,0.046646928645880326,0.001323902671690025,0.006463212894069259,-0.008001523145033523
02,2022,2024,eloundou_beta,142,294,0.03075657751207737,0.03575012278879646,0.002876455503714391,0.024732727549664386,0.051824466154220955,0.002343075452003868,0.006023849962412984,-0.016074343365424494
04,2022,2024,eloundou_beta,178,418,0.0007681735156965687,0.04906388141881793,0.002121117014592434,0.039049179682139314,0.05240072490608027,0.001421956391591665,-0.03828100616644275,-0.0033368434872623406
05,2022,2024,eloundou_beta,157,412,0.030443186017911246,0.03987221738409837,0.0027501113894996473,0.02052754831698175,0.04487172469654479,0.0014767550212724477,0.009915637700929496,-0.004999507312446416
06,2022,2024,eloundou_beta,193,502,0.005105749626410571,0.04156138889453226,0.002081117967804958,0.01588235199955647,0.05030315768850693,0.001045043237879302,-0.010776602373145901,-0.008741768793974675
08,2022,2024,eloundou_beta,174,448,0.012523552962421306,0.04524418296804158,0.0024800248744688193,0.025403962539809557,0.05694576023937873,0.001647387337483912,-0.01288040957738825,-0.011701577271337152
09,2022,2024,eloundou_beta,167,387,0.005193146427082872,0.04382269319943294,0.0024699055542747616,0.020484193390827844,0.043466949000555366,0.0016017930486572126,-0.015291046963744972,0.00035574419887757225
10,2022,2024,eloundou_beta,125,287,0.00795252611552936,0.04205948800753283,0.003023301616030246,0.032547373118831636,0.05715530943691574,0.00202216539049953,-0.024594847003302278,-0.015095821429382913
11,2022,2024,eloundou_beta,149,232,-0.009608882390531592,0.03465780489490896,0.0023703312721843834,0.039788318212442074,0.039861583838346364,0.0021484096195615882,-0.049397200602973666,-0.005203778943437404
12,2022,2024,eloundou_beta,186,492,0.020495961403312737,0.048402835347649956,0.0018889574280868799,0.035172423744921875,0.05555779315053446,0.001207411602106334,-0.014676462341609138,-0.007154957802884505
13,2022,2024,eloundou_beta,182,463,0.020475249616417553,0.04158660758066758,0.0023282168673269426,0.026362435896173753,0.04956159388694459,0.001394622448512288,-0.0058871862797562,-0.007974986306277007
15,2022,2024,eloundou_beta,144,299,0.0016957684889255247,0.03489867474528667,0.0029403762047848117,0.03017132901074561,0.05819045766701019,0.0035485695904578967,-0.028475560521820084,-0.02329178292172352
16,2022,2024,eloundou_beta,166,376,0.043019840199426326,0.05773219766808729,0.003565385423990546,0.03223325041769799,0.057230461548429784,0.0017116636045135742,0.010786589781728334,0.0005017361196575088
17,2022,2024,eloundou_beta,185,443,-0.009665070510853245,0.038186480025422825,0.002023960566900649,0.019417958086620037,0.04765860923643641,0.0011934356385080703,-0.029083028597473283,-0.009472129211013584
18,2022,2024,eloundou_beta,185,484,0.017543910130481143,0.046938008870375234,0.0019101549374712418,0.008896062883689089,0.05113068630529792,0.001204969256862685,0.008647847246792054,-0.004192677434922687
19,2022,2024,eloundou_beta,181,443,0.0009510678601075266,0.042938504830892586,0.002045271532474602,0.012082848909499035,0.04625717151155098,0.0013872129893408478,-0.011131781049391509,-0.0033186666806583956
20,2022,2024,eloundou_beta,172,419,-0.0022459261385492754,0.043141770190785036,0.0028975185311350027,0.02711893478970215,0.049875572629777674,0.001351781956016638,-0.029364860928251427,-0.006733802438992638
21,2022,2024,eloundou_beta,176,437,0.020563132357266468,0.043459068737667576,0.00229627782885326,0.02945730263599798,0.04585593992106594,0.0015279876011732166,-0.008894170278731513,-0.002396871183398361
22,2022,2024,eloundou_beta,169,411,0.00318348610084435,0.0353581508742703,0.002533060846266348,0.023179835983577632,0.042033372854450565,0.0014528093984129025,-0.019996349882733282,-0.006675221980180265
23,2022,2024,eloundou_beta,160,372,0.0005654257662948787,0.04931083265762881,0.0033932806151343265,0.02429237494695123,0.05984031619415793,0.0015696173328929256,-0.02372694918065635,-0.010529483536529119
24,2022,2024,eloundou_beta,194,424,0.005116999774695516,0.038287450714415194,0.002397730476058079,0.022850277900613208,0.048608019235326407,0.0012813570999090549,-0.01773327812591769,-0.010320568520911212
25,2022,2024,eloundou_beta,169,419,0.013222948008803059,0.03826597621109865,0.0022113679382840994,0.013647480764097041,0.039281556888050594,0.0013892704791961439,-0.0004245327552939819,-0.001015580676951941
26,2022,2024,eloundou_beta,193,480,0.01147945558295159,0.03854968210151312,0.0023781573291820368,0.01748937453398514,0.04416515183340705,0.001107180921179971,-0.00600991895103355,-0.005615469731893932
27,2022,2024,eloundou_beta,187,448,0.007344855050735952,0.0380834499111062,0.0022268690235592026,0.015682353701503025,0.044740733032627995,0.0011382860313228864,-0.008337498650767074,-0.006657283121521793
28,2022,2024,eloundou_beta,160,404,0.024219849900280453,0.04840698238816227,0.0028676811363202814,0.007641978942959384,0.05143934680244902,0.0015308153984626828,0.016577870957321068,-0.0030323644142867534
29,2022,2024,eloundou_beta,182,446,-0.007853659349974161,0.03701677859889369,0.002360340566898726,0.0233978150591719,0.04413365460827902,0.0016439875270484123,-0.03125147440914606,-0.007116876009385327
30,2022,2024,eloundou_beta,149,352,0.008827846608074464,0.052159733651194466,0.003226616440717601,0.02128246578689945,0.05616075897549328,0.0018204648365210535,-0.012454619178824984,-0.004001025324298815
31,2022,2024,eloundou_beta,172,414,0.007882004145601296,0.042913502470807406,0.0022278749484873715,0.030123853763886807,0.0526223006154787,0.0017494173242960296,-0.02224184961828551,-0.009708798144671293
32,2022,2024,eloundou_beta,155,387,0.01213941878237167,0.04531464052634233,0.003473940652117312,0.05442674266611033,0.05627919870264622,0.002166193065923709,-0.04228732388373865,-0.010964558176303894
33,2022,2024,eloundou_beta,155,363,-0.013313739599678362,0.03982008476735877,0.0022885329616970217,0.03129422301141243,0.05020638134195077,0.0015809488903507035,-0.04460796261109079,-0.010386296574591995
34,2022,2024,eloundou_beta,189,440,0.019757776961587745,0.032922524935719566,0.0024262180445264727,0.016724331406106872,0.04160558272985135,0.0015331244581369334,0.0030334455554808723,-0.008683057794131782
35,2022,2024,eloundou_beta,163,373,0.016348146620062783,0.0505246173184682,0.002474163588802593,0.029184749168087006,0.05625930620821349,0.0018786740210202481,-0.012836602548024222,-0.005734688889745293
36,2022,2024,eloundou_beta,193,493,0.0034678206936560813,0.03480349855230029,0.0022404150773834525,0.02120138089203229,0.03758026135022691,0.001182880057181092,-0.01773356019837621,-0.0027767627979266157
37,2022,2024,eloundou_beta,188,470,0.030980159331185024,0.04099224644633162,0.0017433293035443345,0.023842978385744024,0.051888912291665854,0.0011622244507295447,0.007137180945441,-0.010896665845334233
38,2022,2024,eloundou_beta,140,317,0.023870519972044122,0.042031851444834845,0.002383080166847951,0.016218228324197236,0.04013443082369321,0.001605686933504503,0.007652291647846886,0.001897420621141635
39,2022,2024,eloundou_beta,191,492,0.00015471493896166116,0.03943637937857735,0.0019653963635104955,0.019703788535370175,0.04555420256730769,0.0015645116559446874,-0.019549073596408513,-0.006117823188730338
40,2022,2024,eloundou_beta,176,439,0.01376037616829063,0.04205320812364175,0.002595227881587505,0.03175303215304666,0.043978935092350326,0.00150503728102998,-0.01799265598475603,-0.0019257269687085743
41,2022,2024,eloundou_beta,186,459,0.005982380697002728,0.05678194026756502,0.002329171640138398,0.02408411393204233,0.05547135777411167,0.0014690592639355128,-0.0181017332350396,0.0013105824934533522
42,2022,2024,eloundou_beta,196,486,-0.0014811390376156704,0.035275630378324124,0.0018720983594613838,0.020758611857272083,0.04193858736544702,0.001191765957047464,-0.022239750894887753,-0.006662956987122895
44,2022,2024,eloundou_beta,136,268,-0.006711510166070331,0.027361615009761326,0.00309115032618055,0.01257418430264056,0.04264462966577238,0.002162640523722535,-0.019285694468710892,-0.015283014656011052
45,2022,2024,eloundou_beta,183,445,0.028982520316334203,0.05703692574732924,0.0021602533454798444,0.024605525970054273,0.056273585295663286,0.0013266481804887712,0.0043769943462799304,0.0007633404516659559
46,2022,2024,eloundou_beta,142,355,-0.008602822963802817,0.050647314515976094,0.002024696411369292,0.030656861283629728,0.05078226829802381,0.0012244284254413127,-0.03925968424743254,-0.0001349537820477184
47,2022,2024,eloundou_beta,176,470,0.02067593569693895,0.05148986155403696,0.002241458641479985,0.023900823910082577,0.053248871760918824,0.00141306546588629,-0.0032248882131436264,-0.0017590102068818642
48,2022,2024,eloundou_beta,193,511,0.03078606302308943,0.039329047919757325,0.0017993537463272594,0.030071496338316926,0.043801217896622,0.0012913846370239974,0.0007145666847725024,-0.0044721699768646775
49,2022,2024,eloundou_beta,180,429,0.016141676425692458,0.04778675315048538,0.002548121957309366,0.02529889021219741,0.04968191785035458,0.0015408445743082854,-0.009157213786504952,-0.0018951646998691951
